"lot_id","plot_id","lot_number","purchased_rights","remaining_rights","status","notes"
"ITC9-L1","ITC9","1","0","4","Available","Unpurchased"
"NYA1-L5","NYA1","5","1","3","Partially Occupied",
"NYA1-L4","NYA1","4","1","3","Partially Occupied",
"NYA1-L3","NYA1","3","1","3","Partially Occupied",
"NYA1-L2","NYA1","2","1","3","Partially Occupied",
"NYA1-L1","NYA1","1","1","3","Partially Occupied",
"NYA2-L5","NYA2","5","1","3","Partially Occupied",
"NYA2-L4","NYA2","4","1","3","Partially Occupied",
"NYA2-L3","NYA2","3","1","3","Partially Occupied",
"NYA2-L2","NYA2","2","1","3","Partially Occupied",
"NYA2-L1","NYA2","1","1","3","Partially Occupied",
"NYA3-L5","NYA3","5","1","3","Unoccupied",
"NYA3-L4","NYA3","4","1","3","Unoccupied",
"NYA3-L3","NYA3","3","1","3","Unoccupied",
"NYA3-L2","NYA3","2","1","3","Unoccupied",
"NYA3-L1","NYA3","1","1","3","Partially Occupied",
"NYA4-L5","NYA4","5","1","3","Partially Occupied",
"NYA4-L4","NYA4","4","1","3","Partially Occupied",
"NYA4-L3","NYA4","3","1","3","Partially Occupied",
"NYA4-L2","NYA4","2","1","3","Partially Occupied",
"NYA4-L1","NYA4","1","1","3","Unoccupied",
"NYA5-L5","NYA5","5","1","3","Unoccupied",
"NYA5-L4","NYA5","4","1","3","Partially Occupied",
"NYA5-L3","NYA5","3","1","3","Partially Occupied",
"NYA5-L2","NYA5","2","1","3","Partially Occupied",
"NYA5-L1","NYA5","1","1","3","Partially Occupied",
"NYA6-L5","NYA6","5","1","3","Partially Occupied",
"NYA6-L4","NYA6","4","1","3","Partially Occupied",
"NYA6-L3","NYA6","3","1","3","Partially Occupied",
"NYA6-L2","NYA6","2","1","3","Partially Occupied",
"NYA6-L1","NYA6","1","1","3","Partially Occupied",
"NYA7-L6","NYA7","6","1","3","Partially Occupied",
"NYA7-L5","NYA7","5","1","3","Partially Occupied",
"NYA7-L4","NYA7","4","1","3","Partially Occupied",
"NYA7-L3","NYA7","3","1","3","Partially Occupied",
"NYA7-L2","NYA7","2","1","3","Partially Occupied",
"NYA7-L1","NYA7","1","1","3","Partially Occupied",
"NYB1-L5","NYB1","5","1","3","Unoccupied",
"NYB1-L4","NYB1","4","1","3","Unoccupied",
"NYB1-L3","NYB1","3","1","3","Unoccupied",
"NYB1-L2","NYB1","2","1","3","Unoccupied",
"NYB1-L1","NYB1","1","1","3","Unoccupied","Stone on or near lot says ""Mother"""
"NYB2-L5","NYB2","5","1","3","Partially Occupied",
"NYB2-L4","NYB2","4","1","3","Partially Occupied",
